N,J,p,time,peak_rss_mb,peak_rss_gb,dense_design_gb,iters,mem_ratio
1000000,500,2,7.643028058000027,169.09375,0.165130615234375,4.016,8,24.320141933099244
5000000,500,2,6.901969271999974,449.359375,0.4388275146484375,20.08,8,45.75829757641086
20000000,500,2,23.590591610999923,1597.70703125,1.5602607727050781,80.32,8,51.47857422624708
50000000,500,2,59.570150248000004,3884.30859375,3.7932701110839844,200.8,8,52.935855902604935
