N,m,c,bias1,sd1,mean_se_profile1,mean_se_cluster1,cover_profile1,cover_cluster1,bias2,sd2,cover_profile2,cover_cluster2,naive_bias2,cover_naive2
20000,2,0.5,-0.0003047734661654755,0.015606365318291215,0.015667089120551366,0.01566148865329417,0.954,0.953,0.00028563228336378477,0.015299748711570988,0.953,0.95,0.2755992842345383,0.0
20000,5,0.2,0.0008597026312155975,0.011778885482281643,0.011911163524967187,0.011913170469717564,0.953,0.951,5.0128579385771976e-05,0.01153480873748959,0.955,0.956,0.27583818350953365,0.0
20000,20,0.05,0.0003929525155035307,0.01066873396382904,0.01067829509985377,0.010684901468177056,0.954,0.953,0.00013364954919284355,0.010793077988410692,0.946,0.945,0.27557741736514735,0.0
80000,2,0.5,0.0003736287778849934,0.00804205252837588,0.007840354682112971,0.007840608152104848,0.953,0.951,-6.971627837451533e-05,0.007629490996177085,0.958,0.957,0.27560341199142696,0.0
80000,5,0.2,-7.947160366439388e-05,0.005865430347179962,0.005954307281236189,0.005955767280410441,0.955,0.954,1.188897345569262e-05,0.0059832841616258145,0.941,0.938,0.2758981277653382,0.0
80000,20,0.05,-7.633257955458328e-05,0.005388981833486236,0.0053402845284951095,0.005340321916355259,0.943,0.941,0.0002924741277235132,0.005332166705890219,0.954,0.956,0.2760303088440189,0.0
