family,N,J,t_tilted,t_dense,t_statsmodels,t_sparse,dev_dense,dev_statsmodels,dev_sparse
poisson,200000,200,0.11316669000001411,3.847358305,36.797757210999976,0.23787914199999705,3.219646771412954e-15,7.105427357601002e-15,2.220446049250313e-15
binomial,200000,200,0.06940585899997131,1.738486281000064,24.413017287999992,0.14850628199997118,2.886579864025407e-15,3.1086244689504383e-15,7.13318293321663e-15
