N,sep_frac,firth_conv_frac,med_mle,med_firth,mae_mle,mae_firth
300,0.394,1.0,1.7042008444586771,1.5857962863399648,0.5870392143108718,0.4982212719444995
600,0.042,1.0,1.5812283954742592,1.5557294813327063,0.44632903225346987,0.4003322194770258
1200,0.002,1.0,1.5191150661239314,1.5121789840277913,0.23485538157686614,0.22191824939070848
2400,0.0,1.0,1.520335306429455,1.514956079678539,0.1991270960768209,0.1954601265896353
