family,scenario,N,J,event_share,iters,converged,dev,t_tilted
poisson,balanced,200000,200,0.04184,7,True,3.3861802251067274e-15,0.0599798150000197
poisson,imbalanced,200000,200,0.04331,7,True,5.290212712338871e-14,0.055175124000015785
poisson,rare,152065,152,0.0017689803702364121,7,True,2.1760371282653068e-14,0.042413153000097736
poisson,imbalanced+rare,197876,11,0.001359437223311569,10,True,4.884981308350689e-15,0.10089589100005014
binomial,balanced,200000,200,0.502115,5,True,3.3306690738754696e-15,0.07188108599996212
binomial,imbalanced,199963,188,0.556898026134835,6,True,1.394717674685353e-15,0.08320446200002607
binomial,rare,157319,157,0.0020404401248418818,11,True,5.140332604014475e-14,0.13624509099997795
binomial,imbalanced+rare,179120,78,0.0015966949531040643,12,True,9.103828801926284e-15,0.10700529899997946
