rho,exact,empirical,bound,sweeps
0.0,0.006628874936151555,0.006372398255826757,0.0766189121479957,7
0.3,0.2519765538773484,0.25239477551377326,0.6217989798151009,23
0.6,0.5292614998062253,0.5317108378325557,0.8788462996083103,46
0.8,0.7907146527371378,0.7890174039932503,0.9762847765014386,113
0.9,0.8802368975905236,0.8836931017557511,0.9927809672202649,225
0.95,0.954792079901018,0.9552332039700044,0.9989103009331748,569
