rho,predicted,empirical,sweeps
0.0,0.0024376534691027563,0.0019074758557822145,7
0.3,0.189745677206761,0.187308499597241,19
0.6,0.5566920951561973,0.5546719437544627,48
0.8,0.7541600691599636,0.7534413190252941,96
0.9,0.889578957392755,0.8746751238119049,197
0.95,0.9469322026411212,0.9469371942731429,468
0.99,0.9911145321961629,0.9910102685455682,2487
